한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
돌콩추출물,Glycine Soja (Soybean) Seed Extract*,훌륭함,"안티에이징, 다크스팟 개선, 진정","항산화제, 식물추출물","돌콩추출물은 대두(soybean)과 식물의 구성 요소이며 아이소플라본으로 알려진 항산화제의 풍부한 공급원이다. 그 중 가장 중요한 아이소플라본은 다이드제인과 제니스테인은 모두 에스트로겐과 분자 구조적으로 유사하기 때문에 파이토에스트로겐(식물성 에스트로겐)으로 알려져 있다. 중요한 점은 파이토에스트로겐 화합물은 호르몬이 아니며, 국소적으로 사용하기에 안전한 성분으로 널리 알려져 있다.
콩에서 발견되는 또 다른 항산화제에는 쿼세틴, 시린직애씨드, 페룰릭애씨드 및 시나믹애씨드가 있으며 이들은 모두 외부 환경 자극로부터 피부를 보호하는 역할을 한다.
특히 제니스테인(genistein)과 다이드제인(daidzein) 같은 이소플라본 성분은 자외선 손상으로 인한 피부 노화 징후를 눈에 띄게 완화하는 데 도움을 줄 뿐만 아니라, 에스트로겐 감소로 인한 피부 얇아짐과 주름짐(cape-like texture) 등에도 효과가 있다는 다수의 연구 결과가 보고되어 있다. 이러한 항산화 성분은 피부 진정 작용 또한 뛰어나며, 피부의 탄력과 탄력회복성을 유지하는 데 중요한 역할을 한다.
종합하자면 돌콩추출물의 항산화 성분은 다양한 방식으로 작용하여 피부가 더 젊고 균일한 톤을 유지할 수 있도록 돕는다.
돌콩추출물은 화장품에 사용되는 성분으로 검토된 바 있으며, 현재 사용 조건 하에서 안전한 것으로 평가되었다. 일반적인 사용 농도는 0.09–3% 범위이지만, 제형 목적에 따라 더 높은 농도도 허용될 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","제니스테인, 돌콩 추출물, 다이드제인, 아이소플라본, 소이아이소플라본","Pharmaceutics, July 2021, pages 1–17
Phytotherapy Research, March 2020, pages 435–447
Open Access Macedonian Journal of Medical Sciences, February 2019, pages 495–499
The Journal of Clinical and Aesthetic Dermatology, February 2018, pages 28–37
Acta Poloniae Pharmaceutica,  Januaruy-February 2015, pages 3–11
International Journal of Dermatology, April 2011, pages 470–477
https://www.cir-safety.org/sites/default/files/Soy.pdf"
돌콩 추출물,Glycine Soja Seed Extract,훌륭함,"안티에이징, 수분 공급, 피부 톤 개선","항산화제, 식물추출물, 보습제(습윤제)","돌콩 추출물은 대두(soybean)에서 추출되며 피부에 수많은 이점을 제공한다. 특히, 연구에 따르면 대두에 함유된 성분, 주로 이소플라본(isoflavones)으로 추정되는 물질들이 자외선 노출이나 기타 요인으로 인한 완고한 색소 침착을 완화하는 데 도움을 줄 수 있는 것으로 나타났다. 이러한 성분들은 멜라닌이 피부 표면으로 과도하게 전달되는 현상을 줄이는 데 관여하여, 눈에 띄는 과색소침착을 개선하는 데 기여할 수 있다.",돌콩추출물,"Pharmaceutics, July 2021, pages 1–17
Phytotherapy Research, March 2020, pages 435–447
Open Access Macedonian Journal of Medical Sciences, February 2019, pages 495–499
The Journal of Clinical and Aesthetic Dermatology, February 2018, pages 28–37
Acta Poloniae Pharmaceutica,  Januaruy-February 2015, pages 3–11
International Journal of Dermatology, April 2011, pages 470–477
https://www.cir-safety.org/sites/default/files/Soy.pdf"
동백나무꽃추출물,Camellia Japonica Flower Extract*,훌륭함,안티에이징,"식물추출물, 항산화제","동백나무꽃추출물 츠바키(Tsubaki), 일본 동백 (Japanese camellia), 일반 동백(Common camellia)이라고도 알려져 있다. 원산지는 한국, 중국, 일본이며 인상적인 항산화, 진정, 오염으로부터 피부를 보호하는 효능이 입증되었다.
특별히 오염에 대한 보호 능력에 관련하여 실제로 사람의 피부에 국소적으로 도포하여 시험한 결과, 동백나무꽃추출물이 중금속 공기 매개 오염 물질이 유발하는 산화 손상으로부터 섬유아세포(콜라겐을 만드는 피부의 세포)를 보호하는 것으로 나타났다. 또한 콜라겐 분해 효소가 주름과 귤 껍질 피부 질감과 같은 눈에 띄는 노화의 징후를 유발하기 전에 차단한다.
항산화 효과와 오염을 무력화하는 효과에 덧붙여, 동백나무꽃추출물을 피부에 바르면 피부에 자연적으로 발생하는 여러 항산화 효소의 생성을 촉진시킨다. 이러한 효소로는 수퍼옥사이드디스뮤타이제, 카탈라아제와 글루타티온퍼옥시다제가 있다. 이들은 건강한 외모와 멀어지게 만드는 외부 공격자들에 대항하여 피부 스스로가 더 잘 방어하는데 도움을 준다.
또한 이 식물은 지용성 항산화제인 갈릭애씨드와 카멜리오시드-A로 알려진 화합물의 풍부한 공급원이다. 피부 관리에 쓰이는 일반적인 사용 수준은 0.1% 정도이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Experimental and Therapeutic Medicine, Volume 21, Issue 1, January 2021, ePublication
BMC Complementary and Alternative Medicine, January 2019, ePublication
Cosmetics, February 2018, ePublication
International Journal of Molecular Sciences, April 2011, pages 2,618-2,630"
두날리엘라 살리나추출물,Dunaliella Salina Extract*,훌륭함,"안티에이징, 진정","식물추출물, 항산화제","두날리엘라 살리나는 미세조류의 일종으로, 적응력이 뛰어나 혹독한 자연 환경에도 살아남을 수 있다고 알려져 있다. 두날리엘라 살리나추출물은 베타-카로틴의 풍부한 공급원이며 피부에 도움을 주는 강력한 항산화 효과를 가진다. 또한 이 추출물은 비타민 B12의 천연 공급원이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","조류, 베타-카로틴","Pharmaceutical Biology, October 2016, pages 2,269-2,275
Journal of Food Science and Technology, January 2016, pages 888-894
Indian Journal of Pharmaceutical Sciences, November-December 2013, pages 642-648"
드럼스틱씨오일,Moringa Oleifera Seed Oil*,훌륭함,"수분 공급, 안티에이징","유연제(연화제), 항산화제, 식물추출물","무향의 식물성 오일로, 제아틴, 쿼세틴, 비타민 A, 비타민 C, 비타민 E 등 여러 항산화제를 함유한다. 또, 단일불포화 지방산인 올레익애씨드의 훌륭한 공급원으로, 피부를 보충해주고 수분 손실을 예방하는 데 도움을 준다. 더불어, 아미노산은 물론 식물성 스테롤을 함유해 피부에 진정 작용을 한다. 정리하자면 피부에 좋은 식물성 오일이며, 단일불포화 지방의 함량으로 코코넛과 같은 고도포화오일보다 가볍고 기름지지 않은 느낌을 줄 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",올레익애씨드,"International Journal of Molecular Sciences, December 2016, ePublication
Lipids in Health and Disease, December 2016, ePublication
3 Biotech, September 2016, ePublication
Journal of Oleo Science, Volume 58, 2009, pages 9-16"
드로메트리졸트리실록산,Drometrizole Trisiloxane*,훌륭함,안티에이징,자외선차단제,"상표명인 Mexoryl XL로 잘 알려진 드로메트리졸트리실록산은 로레알에서 개발되고 특허낸 광안정의 UVA 및 UVB 필터다. 이 제품의 최대 UVA 흡수범위는 340나노미터이기에 다른 UV필터 제품과 함께 사용하는 게 추천된다.
드로메트리졸트리실록산이 알레르기 반응을 일으킬 가능성이 매우 낮다고 간주하는 연구 결과도 있으며 유럽연합국, 캐나다, 호주 그리고 일본에서는 이 성분이 함유된 자외선 차단제가 판매되고 있다.
현재 미국 전국애서 사용되고 있지 않은데, 이러한 이유는 미국 FDA에서 이 성분이 일반의약품 자외선 차단제로서의 안전성과 효과를 입증하기엔 뒷받침할 증거가 충분하지 않다고 평가했다. 흥미로운 사실은, FDA는 로레알이 드로메트리졸트리실록산이 함유된 자외선 차단제의 미국 내 홍보를 허가했다라는 점이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",멕소릴SX,"PubChem, Accessed April 2023, Website
TrAC Trends in Analytical Chemistry, December 2022, ePublication
Indian Journal of Dermatology, January-February 2020, pages 5-10
Journal of the European Academy of Dermatology and Venereology, September 2008, pages 1,110-1,119
Plastic and Reconstructive Surgery, September 2007, pages 1,071-1,075
Photodermatology, Photoimmunology & Photomedicine, October 2004, pages 243-247"
디에칠아미노하이드록시벤조일헥실벤조에이트,Diethylamino Hydroxybenzoyl Hexyl Benzoate*,훌륭함,안티에이징,자외선차단제,"디에칠아미노하이드록시벤조일헥실벤조에이트는 UVA 광선으로부터 피부를 보호하는 합성 자외선 차단제입니다. 현재 미국에서 FDA승인 자외선 차단제는 아니나 유럽연합, 중국, 호주, 일본을 포함한 여러 시장에서는 최대 농도 10%까지 사용 가능한 자외선 차단 기능성 성분이며 354nm의 파장을 흡수할 수 있다.
원료 공급자의 주장과 연구 결과를 통해 디에칠아미노하이드록시벤조일헥실벤조에이트가 우수한 광안정성을 가지고 있음이 나타났다. 이러한 점에서 또 다른 인기있는 UVA 자외선 차단제인 아보벤존보다 우수하며, 단독 또는 다른 자외선 차단 성분과 함께 사용할 수 있다. 아보벤존에서 다소 부족하다고 평가되는 안정성은 여러 방법으로 극복할 수 있으며 매우 효과적인 UVA 흡수제이다.
디에칠아미노하이드록시벤조일헥실벤조에이트는 오일, 지방, 지질에 용해되는 친유성 성분으로 표피에는 천연 지질이 포함되어 있기 때문에 피부 친화력에 긍정적인 영향을 미친다.
디에칠아미노하이드록시벤조일헥실벤조에이트은 노화를 가속화하는 UVA 광선으로부터 피부를 보호하는 역할을 하기 때문에 노화 방지 성분으로도 간주된다. 이런 종류의 방사선은 하루 종일 존재한다. 또한 피부 깊숙이 침투하여 굵은 주름, 탄력 상실과 같은 노화의 징후를 연쇄적으로 일으킬 수 있다.
원료는 흰색 내지 옅은 상아색 굵은 가루 형태이다. 지용성 특성 때문에 에멀전의 오일층에 포함되어야 한다.
2008년 유럽 보건 소비자 보호 위원회는 디에칠아미노하이드록시벤조일헥실벤조에이트의 안전성에 대한 의견을 제출했다. 소비자 제품 과확 위원회의 보고서에 따르면 최대 농도 10%에서 안전하다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"PubChem, Accessed November 2022, ePublication
Belchem Industries (supplier info), Accessed November 2022, ePublication
UL Prospector (supplier info), Accessed November 2022, ePublication
Nanotechnology, August 2019, pages 1-13
EU Commission: Scientific Committee on Consumer Products, April 2008, pages 1-25"
딜추출물,Peucedanum Graveolens (Dill) Extract*,훌륭함,"안티에이징, 진정","항산화제, 식물추출물","딜추출물(Peucedanum Graveolens (Dill) Extract)은 분류학상으로 Anethum graveolens extract로도 알려져 있다. 식물 추출물로, 피부 복원력을 향상해주고 항산화 작용을 한다는 연구 결과가 있다. 음식의 시즈닝 재료로 가장 잘 알려진 딜은 민감해진 피부에 진정 작용을 한다.
딜은 철분과 칼륨과 같은 미네랄과 베타-카로틴의 풍부한 공급원입니다. 딜의 노화 방지 효과는 생체외 및 생체내, 진피유사체(사람의 피부 샘플)에서 연구되었다. 현재 진행 중인 연구에 따르면, 딜은 특히 탄력 저하와 같은 노화 징후를 완화하는 데 고려할 만한 효능을 가진 성분 중 하나이다.
모든 항산화제가 그렇듯이 딜은 다른 항산화 성분과 사용 시 시너지 효과가 있다. 예를 들어, Johnson & Johnson은 딜과 블랙베리추출물을 혼합하여 사용했을 때, 딜만 사용했을 때보다 눈에 보이는 탄력에 더 인상적인 효과를 보였다는 연구 결과를 발표했다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"International Journal of Cosmetic Science, October 2020, pages 444–451
Journal of Pharmaceutics, January 2017, pages 1-9
Iranian Journal of Pharmaceutical Research, Autumn 2012, pages 1,169-1,174
International Journal of Cosmetic Science, April 2011, pages 157-163
Experimental Dermatology, August 2006, pages 574-581"
땅꽈리추출물,Physalis Angulata Extract*,훌륭함,"안티에이징, 진정","항산화제, 식물추출물","_Physalis Angulata_는 cutleaf ground cherry, Indian gooseberry 라고도 알려졌다. 이 식물 추출물은 항산화 작용을 하고 피부를 진정시키는 강력한 효과가 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Phytomedicine, August 2010, pages 740-743
Biological and Pharmaceutical Bulletin, June 2005, pages 963-966
Journal of Ethnopharmacology, November 2003, pages 171-175"
땅콩추출물,Arachis Hypogaea (Peanut) Fruit Extract*,훌륭함,"수분 공급, 진정","유연제(연화제), 식물추출물","일반적으로 땅콩(Peanut)으로 알려진 식물의 추출물이다. 연화 및 피부 진정 효과가 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
라네시아나벚나무꽃추출물,Prunus Lannesiana (Cherry Blossom) Flower Extract,훌륭함,"안티에이징, 진정","항산화제, 식물추출물","라네시아나벚나무꽃추출물은 특히 일본을 포함한 동아시아권 국가에서 자라는 벚나무(cherry blossom tree)에서 유래되는 추출물이다. 핑크빛 하얀색 꽃은 행운의 상징이기도 하지만 안토시아닌(anthocyanins), 플라보노이드(flavonoids), 카페익애씨드(caffeic acid)과 퀘르세틴(quercertin) 유도체를 포함한 항산화 혼합물을 지니고 있어 피부에 유익하기도 하다.
연구 결과에 따르면, 벚꽃은 최종당화산물 (AGEs)과 과색소 침착을 유발하는 위험 요소를 증폭시키는 콜라겐 분해 효소를 억제시키는 데 도움을 준다고 밝혀졌다.
라네시아나벚나무꽃추출물은 생체 외, 생체 내 실험을 통해 진정 효과를 지니고 있다고 밝혀졌다. 2% 농도로 사용 시, 강한 세제나 이 외의 자극물 노출로 인해 발생하는 피부 자극 증상을 완화시키는 데 도움을 준다. 더 낮은 농도에서는, 피부가 UVB에 노출됐을 때 발생하는 자유라디칼로인한 손상으로부터 피부 세포를 보호해주는 역할을 한다.
평균적으로 수성 블렌드에 1-3% 함유되어 사용된다. 라네시아나벚나무꽃추출물의 실제 함량은 낮은데, 이는 피부에 대한 항상화제의 효능을 입증하는 증거이기도 하다.
이 성분은 사쿠라(Sakura)또는 일본 벚(Japanese Cherry)이라고도 불린다.
참고 사항: 벚꽃은 일시적으로 향이 있지만, 폴라초이스에선 생물학적 발효된 추출물을 사용해 피부에 자극을 줄 수 있는 향료가 포함되지 않은 형태를 사용하고 있다.",,"Journal of Applied Pharmaceutical Science, July 2021, pages 20–45
Cytotechnology, April 2019, pages 475–487
International Journal of Cosmetic Science, December 2014, pages 527–530"
